title,ingredients,directions,link,source,NER,cuisine,meal_type,diet,cook_minutes,servings
Paneer Bhurji,"[""200 g paneer (crumbled)"", ""80 g onion (finely chopped)"", ""100 g tomato (chopped)"", ""5 g green chilli (chopped)"", ""5 g ginger (grated)"", ""10 g oil"", ""1 g turmeric"", ""2 g garam masala"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Heat oil in a pan and saute onion until soft."", ""Add ginger, green chilli and tomato; cook until the tomato breaks down."", ""Stir in turmeric, garam masala and salt."", ""Add crumbled paneer and cook for 3-4 minutes."", ""Garnish with coriander leaves and serve hot.""]",,NutriChef curated,"[""paneer"", ""onion"", ""tomato"", ""green chilli"", ""ginger"", ""oil"", ""turmeric"", ""garam masala"", ""salt"", ""coriander leaves""]",north_indian,dinner,vegetarian,20,2
Egg Bhurji,"[""200 g eggs (4 large)"", ""60 g onion (chopped)"", ""80 g tomato (chopped)"", ""5 g green chilli (chopped)"", ""10 g oil"", ""1 g turmeric"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Heat oil and saute onion and green chilli."", ""Add tomato, turmeric and salt; cook for 2 minutes."", ""Pour in beaten eggs and scramble on low heat until just set."", ""Garnish with coriander leaves.""]",,NutriChef curated,"[""eggs"", ""onion"", ""tomato"", ""green chilli"", ""oil"", ""turmeric"", ""salt"", ""coriander leaves""]",north_indian,breakfast,eggetarian,15,2
Dal Tadka,"[""100 g toor dal (rinsed)"", ""500 ml water"", ""50 g onion (chopped)"", ""80 g tomato (chopped)"", ""6 g garlic (chopped)"", ""2 g cumin seeds"", ""10 g oil"", ""1 g turmeric"", ""2 g red chilli powder"", ""3 g salt""]","[""Pressure-cook dal with water and turmeric for 3-4 whistles until soft."", ""Heat oil, add cumin seeds and garlic until fragrant."", ""Add onion, then tomato and chilli powder; cook until soft."", ""Pour the tempering into the dal, add salt and simmer for 5 minutes.""]",,NutriChef curated,"[""toor dal"", ""water"", ""onion"", ""tomato"", ""garlic"", ""cumin seeds"", ""oil"", ""turmeric"", ""red chilli powder"", ""salt""]",north_indian,lunch,vegan,35,3
Chana Masala,"[""150 g chickpeas (dried, soaked overnight)"", ""100 g onion (chopped)"", ""150 g tomato (pureed)"", ""8 g ginger (grated)"", ""8 g garlic (minced)"", ""15 g oil"", ""4 g chana masala powder"", ""3 g salt"", ""5 g coriander leaves""]","[""Pressure-cook soaked chickpeas until tender."", ""Heat oil and saute onion, ginger and garlic until golden."", ""Add tomato puree and chana masala; cook until oil separates."", ""Add chickpeas with some cooking water and salt; simmer 10 minutes."", ""Garnish with coriander leaves.""]",,NutriChef curated,"[""chickpeas"", ""onion"", ""tomato"", ""ginger"", ""garlic"", ""oil"", ""chana masala powder"", ""salt"", ""coriander leaves""]",north_indian,lunch,vegan,60,3
Rajma Masala,"[""150 g rajma (dried, soaked at least 8 hours)"", ""100 g onion (chopped)"", ""150 g tomato (pureed)"", ""8 g ginger (grated)"", ""8 g garlic (minced)"", ""15 g oil"", ""3 g garam masala"", ""3 g salt""]","[""Drain soaked rajma and boil vigorously (pressure-cook) until completely soft."", ""Heat oil and saute onion, ginger and garlic."", ""Add tomato puree and garam masala; cook until thick."", ""Add rajma with cooking liquid and salt; simmer 15 minutes.""]",,NutriChef curated,"[""rajma"", ""onion"", ""tomato"", ""ginger"", ""garlic"", ""oil"", ""garam masala"", ""salt""]",north_indian,lunch,vegan,75,3
Palak Paneer,"[""250 g spinach (washed)"", ""150 g paneer (cubed)"", ""60 g onion (chopped)"", ""60 g tomato (chopped)"", ""6 g garlic"", ""5 g ginger"", ""10 g oil"", ""2 g garam masala"", ""3 g salt""]","[""Blanch spinach for 2 minutes, cool and blend to a puree."", ""Heat oil and saute onion, garlic and ginger."", ""Add tomato and garam masala; cook until soft."", ""Add spinach puree and salt; simmer 5 minutes."", ""Add paneer cubes and cook 2 more minutes.""]",,NutriChef curated,"[""spinach"", ""paneer"", ""onion"", ""tomato"", ""garlic"", ""ginger"", ""oil"", ""garam masala"", ""salt""]",north_indian,dinner,vegetarian,30,2
Moong Dal Chilla,"[""100 g moong dal (soaked 3 hours)"", ""5 g ginger"", ""4 g green chilli"", ""40 g onion (finely chopped)"", ""8 g oil"", ""2 g salt""]","[""Grind soaked dal with ginger, green chilli and a little water to a smooth batter."", ""Stir in onion and salt."", ""Spread a ladle of batter on a hot oiled pan."", ""Cook both sides until golden.""]",,NutriChef curated,"[""moong dal"", ""ginger"", ""green chilli"", ""onion"", ""oil"", ""salt""]",north_indian,breakfast,vegan,30,2
Besan Chilla,"[""100 g besan"", ""40 g onion (chopped)"", ""40 g tomato (chopped)"", ""5 g coriander leaves"", ""8 g oil"", ""2 g salt"", ""120 ml water""]","[""Whisk besan, water and salt into a smooth batter."", ""Mix in onion, tomato and coriander leaves."", ""Spread on a hot oiled pan and cook both sides until golden.""]",,NutriChef curated,"[""besan"", ""onion"", ""tomato"", ""coriander leaves"", ""oil"", ""salt"", ""water""]",north_indian,breakfast,vegan,20,2
Vegetable Poha,"[""100 g poha (rinsed)"", ""50 g onion (chopped)"", ""40 g peas"", ""20 g peanuts"", ""2 g curry leaves"", ""2 g mustard seeds"", ""10 g oil"", ""1 g turmeric"", ""10 g lemon (juice)"", ""2 g salt""]","[""Rinse poha and let it soften for 5 minutes."", ""Heat oil, fry peanuts, then add mustard seeds and curry leaves."", ""Add onion and peas; cook until soft."", ""Add turmeric, salt and poha; mix gently and heat through."", ""Finish with lemon juice.""]",,NutriChef curated,"[""poha"", ""onion"", ""peas"", ""peanuts"", ""curry leaves"", ""mustard seeds"", ""oil"", ""turmeric"", ""lemon"", ""salt""]",maharashtrian,breakfast,vegan,20,2
Vegetable Upma,"[""100 g suji"", ""50 g onion (chopped)"", ""40 g carrot (diced)"", ""30 g peas"", ""10 g oil"", ""2 g mustard seeds"", ""2 g curry leaves"", ""300 ml water"", ""2 g salt""]","[""Dry-roast suji until fragrant and set aside."", ""Heat oil, add mustard seeds and curry leaves, then onion, carrot and peas."", ""Add water and salt and bring to a boil."", ""Slowly add suji while stirring; cook covered for 2-3 minutes.""]",,NutriChef curated,"[""suji"", ""onion"", ""carrot"", ""peas"", ""oil"", ""mustard seeds"", ""curry leaves"", ""water"", ""salt""]",south_indian,breakfast,vegan,25,2
Masala Oats,"[""80 g oats"", ""40 g onion (chopped)"", ""50 g tomato (chopped)"", ""30 g carrot (grated)"", ""30 g peas"", ""5 g oil"", ""300 ml water"", ""2 g salt""]","[""Heat oil and saute onion, carrot and peas."", ""Add tomato and salt; cook 2 minutes."", ""Add oats and water; simmer until creamy.""]",,NutriChef curated,"[""oats"", ""onion"", ""tomato"", ""carrot"", ""peas"", ""oil"", ""water"", ""salt""]",fusion,breakfast,vegan,15,2
Egg Curry,"[""200 g eggs (4 large, hard-boiled)"", ""100 g onion (chopped)"", ""120 g tomato (pureed)"", ""5 g ginger"", ""5 g garlic"", ""15 g oil"", ""1 g turmeric"", ""2 g red chilli powder"", ""2 g garam masala"", ""3 g salt""]","[""Heat oil and saute onion, ginger and garlic until golden."", ""Add tomato puree and spices; cook until oil separates."", ""Add a little water and salt to make a gravy."", ""Add halved boiled eggs and simmer 5 minutes.""]",,NutriChef curated,"[""eggs"", ""onion"", ""tomato"", ""ginger"", ""garlic"", ""oil"", ""turmeric"", ""red chilli powder"", ""garam masala"", ""salt""]",north_indian,dinner,eggetarian,35,2
